Estado,HOMENS,MULHERES,TOTAL,HOMENS,MULHERES,TOTAL,%
SP,985563,382915,1368478,184.16,49.65,233.82,48.48
RJ,267488,104979,372467,53.82,18.16,71.98,14.92
MG,260759,93376,354135,38.55,6.39,44.94,9.32
RS,150231,49807,200038,19.69,6.05,25.74,5.34
PR,168485,57403,225888,17.66,4.38,22.04,4.57
SC,131125,42640,173765,14.26,3.79,18.05,3.74
DF,84071,34778,118849,9.79,2.18,11.97,2.48
BA,84485,31760,116245,8.23,1.98,10.21,2.12
CE,51924,17677,69601,5.44,1.17,6.61,1.37
PE,60070,21227,81297,5.00,1.33,6.33,1.31
ES,54349,18395,72744,5.18,1.01,6.19,1.28
GO,63433,22828,86261,4.17,0.93,5.10,1.06
MA,20138,7075,27213,1.96,0.66,2.62,0.54
MS,25328,8516,33844,2.11,0.31,2.41,0.50
MT,28697,10052,38749,1.90,0.37,2.28,0.47
PA,27993,10531,38524,1.85,0.39,2.24,0.46
RN,23951,7674,31625,1.61,0.32,1.93,0.40
PB,23302,7968,31270,1.37,0.32,1.69,0.35
AM,18394,6989,25383,1.27,0.26,1.52,0.32
SE,14268,4875,19143,0.89,0.19,1.08,0.22
AL,14531,4846,19377,0.83,0.17,0.99,0.21
PI,12335,4249,16584,0.70,0.13,0.83,0.17
RO,11445,4285,15730,0.57,0.17,0.74,0.15
TO,8046,2990,11036,0.35,0.07,0.42,0.09
AC,3569,1362,4931,0.19,0.04,0.23,0.05
AP,2807,1138,3945,0.17,0.02,0.19,0.04
RR,3040,1134,4174,0.14,0.03,0.17,0.03
TOTAL,2599827,961469,3561296,381.86,100.47,482.32,
